time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 9098, 0.081446, 0, 2, 0, 0, 0
1, 8681, 0.125331, 0, 24, 0, 0, 0
2, 8164, 0.164013, 0, 11, 0, 0, 0
3, 8911, 0.097183, 0, 25, 0, 0, 0
4, 9120, 0.077961, 0, 2, 0, 0, 0
5, 9044, 0.090557, 0, 25, 0, 0, 0
6, 8937, 0.086382, 0, 2, 0, 0, 0
7, 9197, 0.067305, 0, 1, 0, 0, 0
8, 8840, 0.092534, 0, 25, 0, 0, 0
9, 9224, 0.061578, 0, 2, 0, 0, 0
10, 8708, 0.100023, 0, 26, 0, 0, 0
11, 8790, 0.093174, 0, 2, 0, 0, 0
12, 8819, 0.091167, 0, 25, 0, 0, 0
13, 8827, 0.096522, 0, 3, 0, 0, 0
14, 8788, 0.093423, 0, 26, 0, 0, 0
15, 8970, 0.081828, 0, 2, 0, 0, 0
16, 8872, 0.083521, 0, 3, 0, 0, 0
17, 8705, 0.104308, 0, 26, 0, 0, 0
18, 8948, 0.080241, 0, 2, 0, 0, 0
19, 8732, 0.088639, 0, 25, 0, 0, 0
20, 9037, 0.075136, 0, 2, 0, 0, 0
21, 8528, 0.105652, 0, 25, 0, 0, 0
22, 8880, 0.084572, 0, 7, 0, 0, 0
23, 8684, 0.096039, 0, 22, 0, 0, 0
24, 8869, 0.082309, 0, 2, 0, 0, 0
25, 8837, 0.078647, 0, 2, 0, 0, 0
26, 8416, 0.115732, 0, 26, 0, 0, 0
27, 8768, 0.084170, 0, 2, 0, 0, 0
28, 8551, 0.100807, 0, 25, 0, 0, 0
29, 8883, 0.074862, 0, 2, 0, 0, 0
30, 8654, 0.094985, 0, 26, 0, 0, 0
31, 8423, 0.121216, 0, 16, 0, 0, 0
32, 8488, 0.106975, 0, 27, 0, 0, 0
33, 8704, 0.090878, 0, 2, 0, 0, 0
34, 8564, 0.104507, 0, 8, 0, 0, 0
35, 8466, 0.106662, 0, 26, 0, 0, 0
36, 8601, 0.100570, 0, 2, 0, 0, 0
37, 8352, 0.122725, 0, 26, 0, 0, 0
38, 8611, 0.094066, 0, 2, 0, 0, 0
39, 8521, 0.107264, 0, 26, 0, 0, 0
40, 8682, 0.088229, 0, 9, 0, 0, 0
41, 8459, 0.103085, 0, 4, 0, 0, 0
42, 8354, 0.118027, 0, 27, 0, 0, 0
43, 8744, 0.084515, 0, 2, 0, 0, 0
44, 8392, 0.109152, 0, 26, 0, 0, 0
45, 8742, 0.084992, 0, 2, 0, 0, 0
46, 8293, 0.121066, 0, 27, 0, 0, 0
47, 8620, 0.090835, 0, 3, 0, 0, 0
48, 8679, 0.085955, 0, 2, 0, 0, 0
49, 8342, 0.114960, 0, 26, 0, 0, 0
50, 8760, 0.086416, 0, 2, 0, 0, 0
51, 8178, 0.135485, 0, 26, 0, 0, 0
52, 8644, 0.092203, 0, 2, 0, 0, 0
53, 8309, 0.118787, 0, 27, 0, 0, 0
54, 8626, 0.091468, 0, 3, 0, 0, 0
55, 8390, 0.114779, 0, 3, 0, 0, 0
56, 8146, 0.128898, 0, 27, 0, 0, 0
57, 8631, 0.089908, 0, 2, 0, 0, 0
58, 8285, 0.119493, 0, 27, 0, 0, 0
59, 8595, 0.091681, 0, 2, 0, 0, 0
60, 10, 0.300000, 0, 1, 0, 0, 1
