time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 12463, 0.015967, 0, 2, 0, 0, 0
1, 12734, 0.014371, 0, 2, 0, 0, 0
2, 12577, 0.014948, 0, 2, 0, 0, 0
3, 12662, 0.014058, 0, 2, 0, 0, 0
4, 12680, 0.014274, 0, 2, 0, 0, 0
5, 12787, 0.014859, 0, 2, 0, 0, 0
6, 12719, 0.011558, 0, 2, 0, 0, 0
7, 12314, 0.019003, 0, 2, 0, 0, 0
8, 12663, 0.013188, 0, 2, 0, 0, 0
9, 12556, 0.011708, 0, 2, 0, 0, 0
10, 12635, 0.011951, 0, 2, 0, 0, 0
11, 12602, 0.011268, 0, 2, 0, 0, 0
12, 12298, 0.019353, 0, 2, 0, 0, 0
13, 12556, 0.012823, 0, 2, 0, 0, 0
14, 12401, 0.012580, 0, 2, 0, 0, 0
15, 12325, 0.011765, 0, 2, 0, 0, 0
16, 12395, 0.011537, 0, 2, 0, 0, 0
17, 11870, 0.021398, 0, 2, 0, 0, 0
18, 12269, 0.012633, 0, 2, 0, 0, 0
19, 12138, 0.012275, 0, 2, 0, 0, 0
20, 11809, 0.032348, 0, 39, 0, 0, 0
21, 12241, 0.013398, 0, 3, 0, 0, 0
22, 11910, 0.019899, 0, 2, 0, 0, 0
23, 12143, 0.012435, 0, 2, 0, 0, 0
24, 12092, 0.012239, 0, 2, 0, 0, 0
25, 12075, 0.016398, 0, 2, 0, 0, 0
26, 12136, 0.009476, 0, 2, 0, 0, 0
27, 11655, 0.023166, 0, 2, 0, 0, 0
28, 12094, 0.011080, 0, 2, 0, 0, 0
29, 11933, 0.013660, 0, 2, 0, 0, 0
30, 11920, 0.017114, 0, 2, 0, 0, 0
31, 11928, 0.016935, 0, 2, 0, 0, 0
32, 11496, 0.023399, 0, 2, 0, 0, 0
33, 11936, 0.011813, 0, 2, 0, 0, 0
34, 11824, 0.016746, 0, 2, 0, 0, 0
35, 11948, 0.011717, 0, 2, 0, 0, 0
36, 11961, 0.013210, 0, 2, 0, 0, 0
37, 11566, 0.020491, 0, 2, 0, 0, 0
38, 11878, 0.013554, 0, 2, 0, 0, 0
39, 11798, 0.014918, 0, 2, 0, 0, 0
40, 11883, 0.012034, 0, 2, 0, 0, 0
41, 11769, 0.013340, 0, 3, 0, 0, 0
42, 11452, 0.020520, 0, 2, 0, 0, 0
43, 11732, 0.014064, 0, 2, 0, 0, 0
44, 11753, 0.014635, 0, 2, 0, 0, 0
45, 11466, 0.017181, 0, 3, 0, 0, 0
46, 11752, 0.011572, 0, 2, 0, 0, 0
47, 11315, 0.024304, 0, 2, 0, 0, 0
48, 11799, 0.009916, 0, 2, 0, 0, 0
49, 11626, 0.014880, 0, 2, 0, 0, 0
50, 11665, 0.015345, 0, 2, 0, 0, 0
51, 11696, 0.014193, 0, 2, 0, 0, 0
52, 11342, 0.024687, 0, 2, 0, 0, 0
53, 11527, 0.018305, 0, 2, 0, 0, 0
54, 11488, 0.016104, 0, 2, 0, 0, 0
55, 11625, 0.014968, 0, 2, 0, 0, 0
56, 11486, 0.020721, 0, 2, 0, 0, 0
57, 11191, 0.027165, 0, 2, 0, 0, 0
58, 11560, 0.020934, 0, 2, 0, 0, 0
59, 11438, 0.015387, 0, 2, 0, 0, 0
60, 64, 0.031250, 0, 1, 0, 0, 0
